Lambda(micron),Flux(Jy)
4.900400095357326791e+00,8.929531410353581944e-02
4.901200095337117091e+00,9.067117710152403087e-02
4.902000095316907391e+00,8.986112093067223638e-02
4.902800095296697691e+00,8.974214465074444036e-02
4.903600095276487991e+00,8.776277474620432228e-02
4.904400095256278291e+00,8.555420390173260059e-02
4.905200095236068591e+00,8.469238624832226003e-02
4.906000095215858892e+00,8.632424417610587430e-02
4.906800095195649192e+00,8.233350807458557352e-02
4.907600095175439492e+00,7.306035167256123841e-02
4.908400095155229792e+00,6.663952047900657816e-02
4.909200095135020092e+00,7.285443661373988689e-02
4.910000095114810392e+00,8.806944476081816908e-02
4.910800095094600692e+00,9.151743132707250428e-02
4.911600095074390993e+00,9.175916979586302979e-02
4.912400095054181293e+00,9.151709790149144264e-02
4.913200095033971593e+00,9.035175833246593402e-02
4.914000095013761893e+00,8.930874665063386064e-02
4.914800094993552193e+00,8.645076814945056032e-02
4.915600094973342493e+00,8.389525203564564271e-02
4.916400094953132793e+00,8.592325938463771240e-02
4.917200094932923093e+00,8.545364803642761797e-02
4.918000094912713394e+00,8.600492344651966548e-02
4.918800094892503694e+00,8.250714789754619305e-02
4.919600094872293994e+00,7.061462868069570686e-02
4.920400094852084294e+00,7.703851222762925222e-02
4.921200094831874594e+00,8.902678216429882330e-02
4.922000094811664894e+00,9.231889449939920111e-02
4.922800094791455194e+00,9.311092561510944665e-02
4.923600094771245494e+00,9.361484276018122719e-02
4.924400094751035795e+00,9.220823969290307953e-02
4.925200094730826095e+00,8.877773536195611437e-02
4.926000094710616395e+00,8.690371075880011509e-02
4.926800094690406695e+00,8.552087736275802710e-02
4.927600094670196995e+00,8.634022562856356886e-02
4.928400094649987295e+00,9.009786460792551521e-02
4.929200094629777595e+00,9.240972993475472796e-02
4.930000094609567896e+00,8.860481221592143852e-02
4.930800094589358196e+00,7.598058199928445222e-02
4.931600094569148496e+00,7.629696326295699882e-02
4.932400094548938796e+00,8.912074270717480762e-02
4.933200094528729096e+00,9.317267127077710764e-02
4.934000094508519396e+00,9.331375200860071717e-02
4.934800094488309696e+00,9.292531187960756389e-02
4.935600094468099996e+00,9.059612786137459517e-02
4.936400094447890297e+00,8.689160691101083245e-02
4.937200094427680597e+00,8.793179886852113547e-02
4.938000094407470897e+00,8.882415742135831016e-02
4.938800094387261197e+00,9.391055006515218462e-02
4.939600094367051497e+00,9.616162905330222221e-02
4.940400094346841797e+00,9.694283424429889218e-02
4.941200094326632097e+00,9.423444365638797282e-02
4.942000094306422397e+00,8.226468114161776535e-02
4.942800094286212698e+00,7.566647966280845572e-02
4.943600094266002998e+00,8.769921886758251517e-02
4.944400094245793298e+00,9.747727001198047692e-02
4.945200094225583598e+00,9.698837607345479894e-02
4.946000094205373898e+00,9.439109034517063901e-02
4.946800094185164198e+00,9.291063336910951320e-02
4.947600094164954498e+00,8.980845091411225611e-02
4.948400094144744799e+00,9.010064841579845663e-02
4.949200094124535099e+00,9.438821596189082841e-02
4.950000094104325399e+00,9.742603661003415572e-02
4.950800094084115699e+00,9.763355210438308396e-02
4.951600094063905999e+00,9.700161357776687643e-02
4.952400094043696299e+00,9.579502124982647304e-02
4.953200094023486599e+00,9.021070920726748099e-02
4.954000094003276899e+00,7.911323254168352304e-02
4.954800093983067200e+00,7.836626364467573491e-02
4.955600093962857500e+00,9.396633923049281523e-02
4.956400093942647800e+00,9.487974269226678858e-02
4.957200093922438100e+00,9.116426902887583839e-02
4.958000093902228400e+00,8.981015469239869708e-02
4.958800093882018700e+00,9.115899252910002193e-02
4.959600093861809000e+00,9.459969850200548869e-02
4.960400093841599301e+00,9.740756622963205047e-02
4.961200093821389601e+00,9.986982222960213984e-02
4.962000093801179901e+00,9.962397033008149605e-02
4.962800093780970201e+00,9.839798424983019209e-02
4.963600093760760501e+00,9.845549270032367961e-02
4.964400093740550801e+00,9.704142377988853041e-02
4.965200093720341101e+00,9.020501833875708975e-02
4.966000093700131401e+00,7.847198666422937341e-02
4.966800093679921702e+00,8.484247237880412906e-02
4.967600093659712002e+00,9.242662653671271378e-02
4.968400093639502302e+00,9.236480827194609722e-02
4.969200093619292602e+00,9.226023130595946420e-02
4.970000093599082902e+00,9.402466623317677630e-02
4.970800093578873202e+00,9.591144906780987855e-02
4.971600093558663502e+00,9.569754309665721992e-02
4.972400093538453802e+00,9.944712302403355131e-02
4.973200093518244103e+00,1.026526942237139112e-01
4.974000093498034403e+00,1.024110753383901812e-01
4.974800093477824703e+00,1.018855613508494323e-01
4.975600093457615003e+00,1.006879829509189084e-01
4.976400093437405303e+00,9.882655278291614664e-02
4.977200093417195603e+00,9.063190293446889145e-02
4.978000093396985903e+00,7.935386750252716725e-02
4.978800093376776204e+00,8.648813124562841625e-02
4.979600093356566504e+00,9.472690980639435210e-02
4.980400093336356804e+00,9.594855190434840864e-02
4.981200093316147104e+00,9.806884135830483407e-02
4.982000093295937404e+00,9.755161943180935824e-02
4.982800093275727704e+00,9.827784458404331680e-02
4.983600093255518004e+00,1.018642020162384421e-01
4.984400093235308304e+00,1.034370677075073797e-01
4.985200093215098605e+00,1.033383648845529051e-01
4.986000093194888905e+00,1.024468907342196561e-01
4.986800093174679205e+00,1.022469989687188885e-01
4.987600093154469505e+00,1.013267343977867635e-01
4.988400093134259805e+00,9.797809369769011623e-02
4.989200093114050105e+00,8.979018438097813304e-02
4.990000093093840405e+00,8.123692837924550991e-02
4.990800093073630705e+00,8.666938524071976513e-02
4.991600093053421006e+00,9.911986009745867021e-02
4.992400093033211306e+00,1.020620782942920912e-01
4.993200093013001606e+00,9.976985115748633615e-02
4.994000092992791906e+00,9.727138736670554175e-02
4.994800092972582206e+00,9.890222535093937117e-02
4.995600092952372506e+00,1.007841822235095858e-01
4.996400092932162806e+00,1.011135414652138131e-01
4.997200092911953107e+00,1.012255878476308185e-01
4.998000092891743407e+00,1.018927981746018119e-01
4.998800092871533707e+00,1.000595731593283827e-01
4.999600092851324007e+00,9.863698165814499541e-02
5.000400092831114307e+00,9.677979688515031542e-02
5.001200092810904607e+00,9.167948204920328692e-02
5.002000092790694907e+00,8.402774123313239141e-02
5.002800092770485207e+00,8.665501244313908447e-02
5.003600092750275508e+00,1.015890190281279470e-01
5.004400092730065808e+00,1.036657821610910135e-01
5.005200092709856108e+00,1.007818507952079751e-01
5.006000092689646408e+00,9.931078325573208798e-02
5.006800092669436708e+00,1.013474151044742311e-01
5.007600092649227008e+00,1.026443991544667145e-01
5.008400092629017308e+00,1.034500850633966879e-01
5.009200092608807608e+00,1.034378814331646246e-01
5.010000092588597909e+00,1.023476497681844039e-01
5.010800092568388209e+00,1.021249322589163760e-01
5.011600092548178509e+00,9.887194473691510166e-02
5.012400092527968809e+00,9.723260197209084021e-02
5.013200092507759109e+00,9.621305640063496090e-02
5.014000092487549409e+00,9.303030216715416079e-02
5.014800092467339709e+00,8.529133957082608852e-02
5.015600092447130010e+00,9.684349955450567704e-02
5.016400092426920310e+00,1.013610748188967514e-01
5.017200092406710610e+00,9.922100814206136210e-02
5.018000092386500910e+00,9.741438370076015152e-02
5.018800092366291210e+00,9.701620854115491910e-02
5.019600092346081510e+00,9.708516734141200977e-02
5.020400092325871810e+00,1.005448355860220772e-01
5.021200092305662110e+00,1.031952747051070735e-01
5.022000092285452411e+00,1.040574476830195827e-01
5.022800092265242711e+00,1.019041205660410482e-01
5.023600092245033011e+00,9.916668015322721574e-02
5.024400092224823311e+00,9.904671007801130189e-02
5.025200092204613611e+00,1.010593280160429347e-01
5.026000092184403911e+00,9.947307514000741646e-02
5.026800092164194211e+00,8.946787827683595762e-02
5.027600092143984511e+00,9.184014486462539761e-02
5.028400092123774812e+00,9.739499244930359401e-02
5.029200092103565112e+00,9.857483348398979328e-02
5.030000092083355412e+00,1.002200975351436180e-01
5.030800092063145712e+00,1.023287415870064582e-01
5.031600092042936012e+00,1.039994339492519293e-01
5.032400092022726312e+00,1.040968923742162378e-01
5.033200092002516612e+00,1.050948171524214853e-01
5.034000091982306913e+00,1.045296012007357056e-01
5.034800091962097213e+00,1.021102280368449688e-01
5.035600091941887513e+00,1.022407695593340882e-01
5.036400091921677813e+00,1.037847087569437332e-01
5.037200091901468113e+00,1.049137098032253690e-01
5.038000091881258413e+00,1.018636723471755545e-01
5.038800091861048713e+00,9.702854035335019278e-02
5.039600091840839013e+00,9.102446056723645373e-02
5.040400091820629314e+00,9.678368127843801905e-02
5.041200091800419614e+00,1.021088884479222914e-01
5.042000091780209914e+00,1.018755993836271551e-01
5.042800091760000214e+00,1.036158864306869071e-01
5.043600091739790514e+00,1.036478535943695239e-01
5.044400091719580814e+00,1.033093493123332929e-01
5.045200091699371114e+00,1.045713210186025033e-01
5.046000091679161415e+00,1.017721276428817795e-01
5.046800091658951715e+00,1.010804393615808844e-01
5.047600091638742015e+00,1.024427651345519857e-01
5.048400091618532315e+00,1.054933331022810949e-01
5.049200091598322615e+00,1.059699695782132661e-01
5.050000091578112915e+00,1.061744198594989641e-01
5.050800091557903215e+00,1.050339350987233716e-01
5.051600091537693515e+00,1.008059754051584267e-01
5.052400091517483816e+00,9.778463864674517836e-02
5.053200091497274116e+00,9.867306429878526519e-02
5.054000091477064416e+00,1.037720791323107766e-01
5.054800091456854716e+00,1.033927216294010382e-01
5.055600091436645016e+00,1.048338146324213765e-01
5.056400091416435316e+00,1.069451114688989707e-01
5.057200091396225616e+00,1.065198359349654039e-01
5.058000091376015916e+00,1.049775443405514125e-01
5.058800091355806217e+00,1.037175843652792390e-01
5.059600091335596517e+00,1.056241234287685626e-01
5.060400091315386817e+00,1.068581925222091000e-01
5.061200091295177117e+00,1.052289022999791934e-01
5.062000091274967417e+00,1.039748629682897690e-01
5.062800091254757717e+00,1.049203861368360607e-01
5.063600091234548017e+00,1.053513999115512217e-01
5.064400091214338318e+00,1.015463962779600826e-01
5.065200091194128618e+00,9.627002260604537731e-02
5.066000091173918918e+00,9.797413406494773214e-02
5.066800091153709218e+00,1.030608190384494777e-01
5.067600091133499518e+00,1.060317864887485306e-01
5.068400091113289818e+00,1.068099231136240140e-01
5.069200091093080118e+00,1.063021978196669465e-01
5.070000091072870418e+00,1.047297913693216731e-01
5.070800091052660719e+00,1.064370675019794960e-01
5.071600091032451019e+00,1.090843347796128932e-01
5.072400091012241319e+00,1.092857621352831404e-01
5.073200090992031619e+00,1.083781606389016966e-01
5.074000090971821919e+00,1.073902746541026548e-01
5.074800090951612219e+00,1.060517903399416789e-01
5.075600090931402519e+00,1.065627410575179512e-01
5.076400090911192819e+00,1.077907851912441872e-01
5.077200090890983120e+00,1.045503271100498427e-01
5.078000090870773420e+00,9.849387413637797350e-02
5.078800090850563720e+00,9.672250877808408198e-02
5.079600090830354020e+00,1.027313693687227220e-01
5.080400090810144320e+00,1.050719952522146949e-01
5.081200090789934620e+00,1.030213769062737483e-01
5.082000090769724920e+00,9.993140086079611850e-02
5.082800090749515221e+00,1.031425785084239127e-01
5.083600090729305521e+00,1.081748703639579673e-01
5.084400090709095821e+00,1.089876874641971666e-01
5.085200090688886121e+00,1.068198263119206209e-01
5.086000090668676421e+00,1.063496535398791715e-01
5.086800090648466721e+00,1.077718403355465981e-01
5.087600090628257021e+00,1.087031029487075945e-01
5.088400090608047321e+00,1.091514740915374010e-01
5.089200090587837622e+00,1.100915217383953981e-01
5.090000090567627922e+00,1.089890824616766285e-01
5.090800090547418222e+00,1.039454677501602670e-01
5.091600090527208522e+00,9.753694089235143139e-02
5.092400090506998822e+00,1.013060525468837403e-01
5.093200090486789122e+00,1.051337821120687938e-01
5.094000090466579422e+00,1.058913032417087979e-01
5.094800090446369722e+00,1.070348769121577254e-01
5.095600090426160023e+00,1.089242783106792178e-01
5.096400090405950323e+00,1.111398588044130858e-01
5.097200090385740623e+00,1.110314730901275637e-01
5.098000090365530923e+00,1.086336976753115857e-01
5.098800090345321223e+00,1.084581146850266548e-01
5.099600090325111523e+00,1.089173319978580662e-01
5.100400090304901823e+00,1.098657637670976406e-01
5.101200090284692124e+00,1.112296612757668196e-01
5.102000090264482424e+00,1.122157781932922871e-01
5.102800090244272724e+00,1.110780025610151739e-01
5.103600090224063024e+00,1.080070485466532032e-01
5.104400090203853324e+00,1.010825778491408478e-01
5.105200090183643624e+00,9.997985283569928161e-02
5.106000090163433924e+00,1.037078248323905771e-01
5.106800090143224224e+00,1.058446779483867839e-01
5.107600090123014525e+00,1.063982874387307681e-01
5.108400090102804825e+00,1.086074190540811529e-01
5.109200090082595125e+00,1.092493542556970260e-01
5.110000090062385425e+00,1.074991663649525614e-01
5.110800090042175725e+00,1.071332453057590867e-01
5.111600090021966025e+00,1.085446077265355275e-01
5.112400090001756325e+00,1.084639509863599693e-01
5.113200089981546625e+00,1.078346341166628031e-01
