-dhs 0.80
-a 0.1 2.0
0.87 c 0.13
       lam   pyroxene    olivine  enstatite forsterite     silica     quartz
   1.00000 6839.06200 6288.96800 6525.01700 6660.94400 6325.26400 6272.96767
   1.00016 6838.52000 6288.25767 6524.24300 6660.14933 6324.41800 6272.18500
   1.00032 6837.97900 6287.54700 6523.47000 6659.35467 6323.57200 6271.40167
   1.00048 6837.43700 6286.83667 6522.69600 6658.56000 6322.72700 6270.61867
   1.00064 6836.89600 6286.12633 6521.92200 6657.76533 6321.88100 6269.83600
   1.00080 6836.35400 6285.41600 6521.14900 6656.97067 6321.03500 6269.05300
   1.00096 6835.81200 6284.70533 6520.37500 6656.17567 6320.18900 6268.26967
   1.00112 6835.27100 6283.99467 6519.60100 6655.38100 6319.34400 6267.48733
   1.00128 6834.72900 6283.28467 6518.82800 6654.58633 6318.49800 6266.70400
   1.00144 6834.18700 6282.57433 6518.05400 6653.79167 6317.65300 6265.92167
   1.00160 6833.64600 6281.86333 6517.28000 6652.99733 6316.80800 6265.13867
   1.00176 6833.10400 6281.15333 6516.50700 6652.20300 6315.96200 6264.35600
   1.00192 6832.56200 6280.44267 6515.73300 6651.40833 6315.11700 6263.57300
   1.00208 6832.02000 6279.73200 6514.95900 6650.61400 6314.27200 6262.79067
   1.00224 6831.47900 6279.02167 6514.18600 6649.81933 6313.42700 6262.00733
   1.00240 6830.93700 6278.31133 6513.41200 6649.02500 6312.58100 6261.22500
   1.00256 6830.39500 6277.60067 6512.63800 6648.23067 6311.73600 6260.44200
   1.00272 6829.85300 6276.89000 6511.86500 6647.43600 6310.89100 6259.65967
   1.00288 6829.31200 6276.17967 6511.09100 6646.64200 6310.04700 6258.87700
   1.00304 6828.77000 6275.46967 6510.31800 6645.84733 6309.20200 6258.09467
   1.00320 6828.22800 6274.75867 6509.54400 6645.05333 6308.35700 6257.31167
   1.00336 6827.68600 6274.04833 6508.77000 6644.25933 6307.51200 6256.52933
   1.00352 6827.14400 6273.33767 6507.99700 6643.46467 6306.66800 6255.74700
   1.00368 6826.60300 6272.62733 6507.22300 6642.67067 6305.82300 6254.96467
   1.00384 6826.06100 6271.91667 6506.45000 6641.87667 6304.97800 6254.18167
   1.00400 6825.51900 6271.20633 6505.67600 6641.08233 6304.13400 6253.39933
   1.00416 6824.97700 6270.49533 6504.90200 6640.28867 6303.28900 6252.61700
   1.00432 6824.43500 6269.78500 6504.12900 6639.49433 6302.44500 6251.83467
   1.00448 6823.89300 6269.07433 6503.35500 6638.70033 6301.60100 6251.05233
   1.00464 6823.35700 6268.37167 6502.59000 6637.91467 6300.76500 6250.27733
   1.00480 6822.83900 6267.69133 6501.84800 6637.15233 6299.95500 6249.52433
   1.00496 6822.32000 6267.01067 6501.10700 6636.39000 6299.14500 6248.77033
   1.00512 6821.80200 6266.33033 6500.36500 6635.62833 6298.33500 6248.01733
   1.00528 6821.28300 6265.65000 6499.62400 6634.86567 6297.52400 6247.26367
   1.00544 6820.76400 6264.96967 6498.88200 6634.10400 6296.71400 6246.51067
   1.00560 6820.24600 6264.28933 6498.14000 6633.34200 6295.90400 6245.75667
   1.00577 6819.72700 6263.60867 6497.39900 6632.57967 6295.09400 6245.00367
   1.00592 6819.20800 6262.92833 6496.65700 6631.81767 6294.28400 6244.25000
   1.00609 6818.69000 6262.24767 6495.91600 6631.05600 6293.47500 6243.49700
   1.00625 6818.17100 6261.56733 6495.17400 6630.29367 6292.66500 6242.74400
   1.00641 6817.65200 6260.88700 6494.43300 6629.53200 6291.85500 6241.99033
   1.00657 6817.13300 6260.20633 6493.69100 6628.77000 6291.04500 6241.23733
   1.00673 6816.61400 6259.52600 6492.95000 6628.00833 6290.23600 6240.48433
   1.00689 6816.09600 6258.84533 6492.20800 6627.24667 6289.42600 6239.73067
